Job,Salary,Company,Location
"Analista de Datos Jr (Power BI, Excel) - Ingles Avanzado",Sueldo no mostrado por la empresa,Softtek,
Analista de Datos ---- URGENTE,Sueldo no mostrado por la empresa,"Gonet, S.A. de C.V.",
Analista de Datos Jr/Billingüe/temporal,"$13,000 - $16,000  Mensual","Bimbo, S.A. de C.V.",
Analista de datos,Sueldo no mostrado por la empresa,Kelly Services,
Analista de datos (producción y planeación),Sueldo no mostrado por la empresa,Kelly Services,
ANALISTA DE DATOS (AREA TI),"$28,000  Mensual",,
Analista de Datos - Minería de Datos,Sueldo no mostrado por la empresa,Babel Sistemas de Info...,
Analista de datos,Sueldo no mostrado por la empresa,Kelly Services,
Analista de Datos,"$20,000 - $25,000  Mensual",,
Urge Analista de datos financieros,"$20,000 - $25,000  Mensual",Adecco,
Científico de Datos,Sueldo no mostrado por la empresa,AMI INTERNATIONAL,
CIENTIFICO DE DATOS,"$20,000 - $25,000  Mensual",Centrum Promotora Inte...,
Científico de datos,Sueldo no mostrado por la empresa,Liverpool,
CIENTIFICO DE DATOS JR,"$40,000 - $50,000  Mensual",,
CIENTIFICO DE DATOS JR,"$40,000 - $50,000  Mensual",,
Científico de Datos Jr,Sueldo no mostrado por la empresa,Computación en Acción,
"Data Scientist (Ciudad de México, Cuauhtémoc)",Sueldo no mostrado por la empresa,BBVA Bancomer,
Data Scientist,Sueldo no mostrado por la empresa,Liverpool,
ANALISTA RIESGOS,"$22,000 - $32,000  Mensual",Banregio,
Sr. Data Analyst BI,"$50,000  Mensual",ESSILORLUXOTTICA MEXIC...,
GESTOR DE INFORMACION,Sueldo no mostrado por la empresa,Hitss,
Data Modeler,"$35,000 - $45,000  Mensual",,
Arquirecto TI Jr,"$30,000 - $40,000  Mensual","Manpower, S.A. de C.V.",
Analista de Tecnología de Datos para Contac Center,"$7,600 - $9,000  Mensual","Atento Servicios, S. A...",
Analista de Tecnología de Datos para Contac Center,"$7,600 - $9,000  Mensual","Atento Servicios, S. A...",
Analista de Tecnología de Datos para Contac Center,"$7,600 - $9,000  Mensual","Atento Servicios, S. A...",
Consultor BI / Ing. de Datos,Sueldo no mostrado por la empresa,BanCoppel,
Especialista en Minería de Datos,"$35,000  Mensual",Grupo Salinas,
Especialista en KPI´s,"$25,000 - $30,000  Mensual",Grupo Salinas,
Gerencia de Inteligencia,Sueldo no mostrado por la empresa,"TEKNEI, SA DE CV",
Consultor Jr Informática Power Center,"$22,000 - $32,000  Mensual",IDS Comercial,
ETL Developer,"$80,000 - $95,000  Mensual",Fast Dolphin,
Data servicing,Sueldo no mostrado por la empresa,BBVA Bancomer,
Líder de proyecto,"$23,000  Mensual",Grupo Salinas,
ANALISTA DE MERCADO Y COMPETENCIA (BI),"$20,000 - $26,000  Mensual",Farmacia San Pablo,
"Soporte Técnico con Ventas en Guadalajara, Jalisco","$11,000 - $13,000  Mensual",Sistemas de Cómputo en...,
Soporte Técnico - Presencial,"$15,000 - $16,500  Mensual",,
Técnico Operador,Sueldo no mostrado por la empresa,Page Personnel,
Ingeniero de Telefonía y Call Center,"$16,000 - $16,500  Mensual",IZZI,
Soporte técnico,"$15,000  Mensual",ISLA 17,
Entrenador de empleados,"$14,000 - $15,000  Mensual","Yakult, S.A. de C.V.",
