Job,Salary,Company,Location
Data Analyst/Market Intelligence Specialist,Sueldo no mostrado por la empresa,NASSA  JOHNSTON SA DE CV,"San Pedro Garza García, N.L."
Data Governance Analyst,"$20,000 - $22,000  Mensual",EXHIBIDORA MEXICANA CI...,CDMX
Data & Planograms Analyst,Sueldo no mostrado por la empresa,,CDMX
Analyst Data Engineering,Sueldo no mostrado por la empresa,Santander,"Santa Fe, Álvaro Obregón, CDMX"
ERP / CRM Data Analyst - Remote Work,Sueldo no mostrado por la empresa,BAIRESDEV LLC / (Tax I...,"Miguel Hidalgo, CDMX"
Continuous Improvement and Data Analyst Technician,"$12,000  Mensual","Manpower, S.A. de C.V.","La Trinitaria, Chis."
Data Steward Sr Analyst (data Governance),"$25,000 - $28,000  Mensual",Banamex,CDMX
Custodio DDBB // Data Analyst // Con experiencia en Call Cen,"$12,000 - $15,000  Mensual",CMDTA MEX S DE RL DE CV,"Cuauhtémoc, CDMX"
HR Data Management Analyst,Sueldo no mostrado por la empresa,BRP Queretaro,"Querétaro, Qro."
Business and Data Science Analyst - Remote Work,Sueldo no mostrado por la empresa,BAIRESDEV LLC / (Tax I...,"Miguel Hidalgo, CDMX"
Analista de Datos y Mediciones (BI),"$20,000 - $25,000  Mensual",SER-ES OPTIMIZACION Y ...,"Apodaca, N.L."
Analista de datos,Sueldo no mostrado por la empresa,,"Cuauhtémoc, CDMX"
Analista de datos Senior,"$30,000 - $40,000  Mensual",Tramitologia empresari...,"Cuauhtémoc, CDMX"
Analista de datos y procesos,Sueldo no mostrado por la empresa,,CDMX
"Analista de Datos Jr (Power BI, Excel) - Ingles Avanzado",Sueldo no mostrado por la empresa,Softtek,"Guadalajara, Jal."
Analista de Datos ---- URGENTE,Sueldo no mostrado por la empresa,"Gonet, S.A. de C.V.","Polanco I Sección, Miguel Hidalgo, CDMX"
Analista de Datos Jr/Billingüe/temporal,"$13,000 - $16,000  Mensual","Bimbo, S.A. de C.V.","Álvaro Obregón, CDMX"
Analista de datos,Sueldo no mostrado por la empresa,Kelly Services,"Tlalnepantla de Baz, Edo. Méx.​"
Analista de datos,"$13,000 - $15,000  Mensual",,"Monterrey, N.L."
ANALISTA DE DATOS (AREA TI),"$28,000  Mensual",,"Benito Juárez, CDMX"
Analista de Datos - Minería de Datos,Sueldo no mostrado por la empresa,Babel Sistemas de Info...,CDMX
Analista de datos,Sueldo no mostrado por la empresa,Kelly Services,"Guadalupe, N.L."
Analista de Datos,"$20,000 - $25,000  Mensual",,"Monterrey, N.L."
Urge Analista de datos financieros,"$20,000 - $25,000  Mensual",Adecco,"Benito Juárez, CDMX"
Analista de datos de mercado,"$20,000 - $24,000  Mensual",G. De Villa y Asociados,CDMX
Analista de Datos Contables,Sueldo no mostrado por la empresa,Getecsa,"Monterrey, N.L."
Analista de datos,Sueldo no mostrado por la empresa,,"Chihuahua, Chih."
Analista de datos Comercial,"$10,000 - $12,000  Mensual",,"Álvaro Obregón, CDMX"
"Analista de datos contables (Cuauhtémoc, Ciudad de México)",Sueldo no mostrado por la empresa,BBVA Bancomer,"Cuauhtémoc, CDMX"
